1970,WESTERN STAR,100057
1971,WESTERN STAR,100057
1972,WESTERN STAR,100057
1973,WESTERN STAR,100057
1974,WESTERN STAR,100057
1975,WESTERN STAR,100057
1976,WESTERN STAR,100057
1977,WESTERN STAR,100057
1978,WESTERN STAR,100057
1979,WESTERN STAR,100057
1980,WESTERN STAR,100057
1981,WESTERN STAR,100057
1982,WESTERN STAR,100057
1983,WESTERN STAR,100057
1984,WESTERN STAR,100057
1985,WESTERN STAR,100057
1986,WESTERN STAR,100057
1987,WESTERN STAR,100057
1988,WESTERN STAR,100057
1989,WESTERN STAR,100057
1990,WESTERN STAR,100057
1991,WESTERN STAR,100057
1992,WESTERN STAR,100057
1993,WESTERN STAR,100057
1994,WESTERN STAR,100057
1995,WESTERN STAR,100057
1996,WESTERN STAR,100057
1997,WESTERN STAR,100057
1998,WESTERN STAR,100057
1999,WESTERN STAR,100057
2000,WESTERN STAR,100057
2001,WESTERN STAR,100057
2002,WESTERN STAR,100057
2003,WESTERN STAR,100073
2004,WESTERN STAR,100073
2005,WESTERN STAR,100073
2006,WESTERN STAR,100073
2007,WESTERN STAR,100073
2008,WESTERN STAR,100073
2009,WESTERN STAR,100073
2010,WESTERN STAR,100073
2011,WESTERN STAR,100073
2012,WESTERN STAR,100073
2013,WESTERN STAR,100073
2014,WESTERN STAR,100073
2015,WESTERN STAR,100073
2016,WESTERN STAR,100073
2017,WESTERN STAR,100056
2018,WESTERN STAR,100056
1970,FREIGHTLINER,100057
1971,FREIGHTLINER,100057
1972,FREIGHTLINER,100057
1973,FREIGHTLINER,100057
1974,FREIGHTLINER,100057
1975,FREIGHTLINER,100057
1976,FREIGHTLINER,100057
1977,FREIGHTLINER,100057
1978,FREIGHTLINER,100057
1979,FREIGHTLINER,100057
1980,FREIGHTLINER,100057
1981,FREIGHTLINER,100057
1982,FREIGHTLINER,100057
1983,FREIGHTLINER,100057
1984,FREIGHTLINER,100057
1985,FREIGHTLINER,100057
1986,FREIGHTLINER,100057
1987,FREIGHTLINER,100057
1988,FREIGHTLINER,100057
1989,FREIGHTLINER,100057
1990,FREIGHTLINER,100057
1991,FREIGHTLINER,100057
1992,FREIGHTLINER,100057
1993,FREIGHTLINER,100057
1994,FREIGHTLINER,100057
1995,FREIGHTLINER,100057
1996,FREIGHTLINER,100057
1997,FREIGHTLINER,100057
1998,FREIGHTLINER,100057
1999,FREIGHTLINER,100057
2000,FREIGHTLINER,100057
2001,FREIGHTLINER,100057
2002,FREIGHTLINER,100057
2003,FREIGHTLINER,100073
2004,FREIGHTLINER,100073
2005,FREIGHTLINER,100073
2006,FREIGHTLINER,100073
2007,FREIGHTLINER,100073
2008,FREIGHTLINER,100073
2009,FREIGHTLINER,100073
2010,FREIGHTLINER,100073
2011,FREIGHTLINER,100073
2012,FREIGHTLINER,100073
2013,FREIGHTLINER,100073
2014,FREIGHTLINER,100073
2015,FREIGHTLINER,100073
2016,FREIGHTLINER,100073
2017,FREIGHTLINER,100056
2018,FREIGHTLINER,100056
1970,PETERBILT,100057
1971,PETERBILT,100057
1972,PETERBILT,100057
1973,PETERBILT,100057
1974,PETERBILT,100057
1975,PETERBILT,100057
1976,PETERBILT,100057
1977,PETERBILT,100057
1978,PETERBILT,100057
1979,PETERBILT,100057
1980,PETERBILT,100057
1981,PETERBILT,100057
1982,PETERBILT,100057
1983,PETERBILT,100057
1984,PETERBILT,100057
1985,PETERBILT,100057
1986,PETERBILT,100057
1987,PETERBILT,100057
1988,PETERBILT,100057
1989,PETERBILT,100057
1990,PETERBILT,100057
1991,PETERBILT,100057
1992,PETERBILT,100057
1993,PETERBILT,100057
1994,PETERBILT,100057
1995,PETERBILT,100057
1996,PETERBILT,100057
1997,PETERBILT,100057
1998,PETERBILT,100057
1999,PETERBILT,100057
2000,PETERBILT,100057
2001,PETERBILT,
2002,PETERBILT,
2003,PETERBILT,
2004,PETERBILT,
2005,PETERBILT,
2006,PETERBILT,
2007,PETERBILT,
2008,PETERBILT,
2009,PETERBILT,
2010,PETERBILT,
2011,PETERBILT,
2012,PETERBILT,
2013,PETERBILT,
2014,PETERBILT,
2015,PETERBILT,
2016,PETERBILT,100110
2017,PETERBILT,100110
2018,PETERBILT,100110
1970,KENWORTH,100057
1971,KENWORTH,100057
1972,KENWORTH,100057
1973,KENWORTH,100057
1974,KENWORTH,100057
1975,KENWORTH,100057
1976,KENWORTH,100057
1977,KENWORTH,100057
1978,KENWORTH,100057
1979,KENWORTH,100057
1980,KENWORTH,100057
1981,KENWORTH,100057
1982,KENWORTH,100057
1983,KENWORTH,100057
1984,KENWORTH,100057
1985,KENWORTH,100057
1986,KENWORTH,100057
1987,KENWORTH,100057
1988,KENWORTH,100057
1989,KENWORTH,100057
1990,KENWORTH,100057
1991,KENWORTH,100057
1992,KENWORTH,100057
1993,KENWORTH,100057
1994,KENWORTH,100057
1995,KENWORTH,100057
1996,KENWORTH,100057
1997,KENWORTH,100057
1998,KENWORTH,100057
1999,KENWORTH,100057
2000,KENWORTH,100057
2001,KENWORTH,
2002,KENWORTH,
2003,KENWORTH,
2004,KENWORTH,
2005,KENWORTH,
2006,KENWORTH,
2007,KENWORTH,
2008,KENWORTH,
2009,KENWORTH,
2010,KENWORTH,
2011,KENWORTH,
2012,KENWORTH,
2013,KENWORTH,
2014,KENWORTH,
2015,KENWORTH,
2016,KENWORTH,
2017,KENWORTH,100110
2018,KENWORTH,100110
